N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 65.8123191401 158.779394663 65.8123191401 0.0 0.414489041729 1.0 0.0 1.0 0.0
2 had16 95.4335556696 2002.8566744 95.4335556696 0.0 0.0476487193964 1.0 0.0 1.0 0.0
3 had20 92.9377013963 469.637258673 92.9377013963 0.0 0.197892521686 1.0 0.0 1.0 0.0
4 rou20 97.2239419595 112.625608026 97.2239419595 0.0 0.863248986296 1.0 0.0 1.0 0.0
5 nug24 78.9497510186 1841.55592162 78.9497510186 0.0 0.0428712210645 1.0 0.0 1.0 0.0
6 bur26a 95.7856008913 682.381605431 95.7856008913 0.0 0.140369552944 1.0 0.0 1.0 0.0
7 nug30 80.6638566913 1134.59572312 80.6638566913 0.0 0.0710948005954 1.0 0.0 1.0 0.0
8 kra30a 72.690106296 2027.75026627 72.690106296 0.0 0.0358476620644 1.0 0.0 1.0 0.0
9 tai40b 89.6155012454 7.49709917896 89.6155012454 0.0 11.9533567726 1.0 0.0 1.0 0.0
10 lipa40a 96.760139903 1364.53824019 96.760139903 0.0 0.0709105373916 1.0 0.0 1.0 0.0
