N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 100.0 40082.6885293 64.1363099158 9.3988632128 0.0016001 0.183333333333 0.287711275027 0.546779480699 0.160647023347
2 esc16a 100.0 57374.5399977 96.3955383955 2.7496054853 0.00168011 0.155 0.291075591557 0.418333333333 0.203726912675
3 had16 100.0 26897.3776575 98.9888051502 1.23898999293 0.00368024 0.2875 0.322829289254 0.689945746528 0.143718494442
4 rou20 98.5313769801 15263.2793913 95.8593472561 1.13638149836 0.00628039 0.159 0.288736904465 0.530849394753 0.161279754991
5 had20 99.9711149624 10791.823104 98.8593588903 0.861617327119 0.00916058 0.226 0.289523746867 0.680524603175 0.123717082993
6 nug24 99.2601024474 5338.49734482 95.8853914301 1.68462227702 0.01796112 0.1625 0.2875 0.348141203704 0.224124181609
7 bur26a 100.0 3102.80292027 99.5441853442 0.214726109118 0.03208202 0.205384615385 0.274843688766 0.380268728367 0.215556962072
8 nug30 99.4155844156 1736.47477663 95.8593985079 1.11113083788 0.05520345 0.160666666667 0.283994522639 0.351246296296 0.220416714742
9 kra30a 96.8831734961 1790.06638367 92.6596358338 2.36606744049 0.05176324 0.15 0.288463361818 0.259455555556 0.252756222551
10 tai40b 99.924864454 231.557966033 89.8871576916 2.89024352743 0.38818426 0.1365 0.290654864057 0.170805125098 0.27918209973
11 lipa40a 98.7197545935 731.278735762 98.4947701866 0.0884043496131 0.13468841 0.129 0.291991438231 0.665684965267 0.112219279357
