N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 40.6087917694 20304.3958847 40.6087917694 0.0 0.002 1.0 0.0 1.0 0.0
2 esc16a 91.8918918919 45934.4623304 91.8918918919 0.0 0.0020005 1.0 0.0 1.0 0.0
3 had16 91.2659470069 45629.1710725 91.2659470069 1.42108547152e-14 0.00200016666667 1.0 0.0 1.0 0.0
4 rou20 83.5879876586 172389.450205 83.5879876586 0.0 0.000484878787879 1.0 0.0 1.0 0.0
5 had20 91.3192612137 173489.247381 91.3192612137 0.0 0.000526368421053 1.0 0.0 1.0 0.0
6 nug24 75.3673292999 103624.896543 75.3673292999 1.42108547152e-14 0.000727309090909 1.0 0.0 1.0 0.0
7 bur26a 95.0432799859 120117.472345 95.0432799859 0.0 0.000791252747253 1.0 0.0 1.0 0.0
8 nug30 75.6796836382 77343.9700733 75.6796836382 0.0 0.000978482014388 1.0 0.0 1.0 0.0
9 kra30a 67.8522362998 61998.6298167 67.8522362998 0.0 0.00109441509434 1.0 0.0 1.0 0.0
10 tai40b 58.9229126001 34106.5186423 58.9229126001 7.1054273576e-15 0.00172761439589 1.0 0.0 1.0 0.0
11 lipa40a 96.905822707 57665.8936339 96.905822707 1.42108547152e-14 0.00168047031963 1.0 0.0 1.0 0.0
