N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 33.3426417202 225582.069515 20.9843785596 3.5218516191 9.3023255814e-05 0.178333333333 0.280876603986 0.537966111393 0.159317596342
2 esc16a 68.0 153573.509626 61.4294038505 4.9152393743 0.0004 0.155 0.287293404031 0.414375 0.200243070608
3 had16 95.5806783145 26313609.3839 88.3748425992 1.39333958039 3.35852225021e-06 0.16 0.28699956446 0.635896050347 0.124817034852
4 rou20 87.4154487512 24751489.5967 79.1780457891 1.54158300281 3.19892043183e-06 0.152 0.287047034473 0.52383012535 0.161281879844
5 had20 95.1346893898 20857675.5507 89.4309166915 2.51150855978 4.28767416935e-06 0.14 0.29 0.644914623016 0.120061541208
6 nug24 82.5757575758 17037908.4372 74.0431777526 3.22448142518 4.34579033134e-06 0.138333333333 0.289928152019 0.328860532407 0.225863955299
7 bur26a 96.8573613215 15213678.4314 91.647361788 2.58736085809 6.02401070861e-06 0.146923076923 0.28871168641 0.29760318444 0.237859265546
8 nug30 84.2597688498 12444681.5609 76.5006214568 1.89505250111 6.14725423729e-06 0.123333333333 0.293579442211 0.320455925926 0.227776252747
9 kra30a 75.5502676978 10724283.7381 66.0527054893 1.2180799729 6.15917175471e-06 0.128666666667 0.294015116769 0.232040740741 0.259476549789
10 tai40b 71.4564786361 6615430.05103 55.843928583 2.47968318892 8.44146611064e-06 0.1255 0.29233927208 0.159970455566 0.280825451092
11 lipa40a 97.2374668558 12201614.3396 96.3786640217 0.232202265285 7.89884529533e-06 0.122 0.293412678663 0.664753388166 0.112155645833
