N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 94.3687018376 31680.1663494 67.1660710824 8.53145928576 0.00212013 0.191666666667 0.294509950785 0.546181013706 0.170182695174
2 esc16a 100.0 30498.3711097 96.380952381 2.49746659241 0.0031602 0.14875 0.289636086322 0.414166666667 0.200176896595
3 had16 100.0 13498.5756218 98.8156479109 1.25204403036 0.00732045 0.205 0.305685704605 0.65327015129 0.136047021124
4 rou20 99.1050085101 6304.99260921 95.0852152399 1.02215693273 0.01508094 0.161 0.286232423041 0.53004336024 0.161204834537
5 had20 100.0 5276.31614243 98.9898641218 0.887420742584 0.01876117 0.287 0.296615913262 0.706903412698 0.126212524906
6 nug24 98.8662131519 2413.02564501 95.9479080796 1.32168948776 0.03976249 0.165833333333 0.282902859261 0.35404224537 0.219597857277
7 bur26a 99.9918925542 1454.04435406 99.7536659982 0.140885949363 0.06860428 0.201538461538 0.286434932252 0.380632750033 0.224099024214
8 nug30 98.8379599742 715.118093895 96.0320574891 1.38868047155 0.13428839 0.16 0.287595394802 0.351747777778 0.222809577327
9 kra30a 96.5255157438 823.584278379 92.9719996126 2.20211583451 0.11288705 0.154 0.288204402773 0.259231481481 0.254675183972
10 tai40b 99.0004248413 132.770234285 89.0147281372 2.3850742937 0.6704419 0.134 0.294226103533 0.168381120228 0.282666604456
11 lipa40a 98.7785016287 269.97722913 98.4938486675 0.0891144003134 0.3648228 0.121 0.294166619452 0.662746331724 0.112939639891
