N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 57.0950388524 37173.924314 31.2283268592 5.14827501121 0.00084006 0.186666666667 0.288944439104 0.549054759445 0.160889925805
2 esc16a 91.8918918919 85886.8286797 72.1492304324 4.3744641304 0.00084005 0.15625 0.288652580969 0.418125 0.19891139826
3 had16 94.8495665477 104244.202264 91.7411526444 1.21319698655 0.00088006 0.1525 0.288628221073 0.635846571181 0.124769909637
4 rou20 90.7846660527 49641.057466 85.3880793579 2.05515692386 0.00172011 0.149 0.287487391028 0.52266278417 0.161516252287
5 had20 95.0041174856 51063.5604626 91.9200258243 1.55298151346 0.00180011 0.146 0.28824295308 0.647163710317 0.119517588975
6 nug24 85.7845548451 28611.5046109 78.9729027969 2.14371543942 0.00276018 0.138333333333 0.289928152019 0.325992476852 0.227089677103
7 bur26a 97.3565383816 26067.7473524 94.8925959446 1.17876794587 0.00364023 0.14 0.289537480584 0.29459921432 0.23791992162
8 nug30 85.6503496503 13928.6550745 80.234067545 1.86270966962 0.00576036 0.132666666667 0.291165474144 0.328595925926 0.225524643497
9 kra30a 76.9097672809 12192.8445374 72.1861510141 2.56070704721 0.00592037 0.130666666667 0.291802063811 0.235090740741 0.256636624084
10 tai40b 73.6302087147 3669.98567189 62.9809177141 2.8412192704 0.01716108 0.124 0.293085311812 0.158888563472 0.281417799403
11 lipa40a 97.4507925718 5722.92237674 97.0668298072 0.155357797201 0.01696106 0.1195 0.294036137235 0.662311829607 0.112820084298
