N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 100.0 1424.79069195 64.1363099158 9.3988632128 0.045014548648 0.183333333333 0.287711275027 0.546779480699 0.160647023347
2 esc16a 100.0 1082.69602928 98.9034749035 2.48758938585 0.0913492542952 0.14625 0.290368838721 0.41171875 0.202978880403
3 had16 100.0 443.639227986 98.931321728 0.748687144541 0.222999490323 0.23625 0.313071976549 0.666731708829 0.140321886267
4 had20 100.0 161.660657337 99.1756014143 0.801858238132 0.613480132075 0.326 0.305162251925 0.726520873016 0.128868630395
5 rou20 98.849268633 224.463834999 95.4091803306 0.907829567492 0.425053685512 0.153 0.29093126336 0.524672042028 0.163947174908
6 nug24 99.0346394094 69.7918694821 95.472916847 1.73999608776 1.36796617651 0.156666666667 0.288982890689 0.346431712963 0.2239458141
7 bur26a 99.8629584162 41.8576457177 99.7178413125 0.090196323535 2.38230888534 0.21 0.275338414689 0.378977522369 0.217941373321
8 nug30 99.5125121872 23.0233571713 96.3146594835 1.56229231711 4.18334558105 0.156 0.287010646338 0.347385555556 0.222341159797
9 kra30a 95.8077379028 25.2540201069 93.095635598 1.61570086072 3.68636895052 0.149333333333 0.289539097341 0.263240740741 0.251279961395
10 tai40b 97.2735417007 2.83099620593 93.7286983614 1.95098960976 33.108026837 0.179591836735 0.336612531953 0.212776784173 0.323117606503
11 lipa40a 98.6055527764 9.29670923792 98.4956889992 0.0861467784187 10.5946831807 0.133 0.290750752364 0.668620072978 0.111323433809
