Startpoint	Solution
48.3498683944	20.0276764373
94.3687018376	23.6587903106
51.2006861063	25.8581483487
89.371257485	25.5811462239
48.2716798059	12.8636069813
44.374245099	26.1928265877
76.5016818837	15.7213864841
72.9717341482	26.6220735786
56.0234604106	21.3195250424
71.5720065937	22.3135862456
54.0454905511	30.0358468021
56.986039852	20.2802547771
68.9973995955	27.471958585
69.7226277372	18.8239003626
96.3291649859	20.9906385971
66.4810690423	21.7090909091
66.9939682985	19.9174277493
62.6360655738	18.7632592127
59.7298649325	18.9870398346
79.190847289	23.9062969266
46.3194646494	17.299960155
93.5186998238	34.9685166203
76.9577827908	27.7094453469
57.4867597496	17.0553155019
52.0318117442	25.5005606279
55.1119316871	19.2782756115
55.7748452645	20.5048943843
59.4695554725	21.0266795809
49.5487083722	19.209266782
61.1601997695	16.4044789448
73.0275229358	16.6087077479
63.9614302933	28.5202436403
76.050955414	23.237483579
77.7596873982	19.9016584715
63.9957121801	23.1328102296
77.8484107579	21.4401149219
45.3949244368	14.3626138995
63.7394901908	23.9290545619
80.214981525	21.9455038368
60.2118003026	28.4404216042
85.1640513552	24.9490675443
43.1553266468	18.8454405556
62.3091976517	21.8851670256
55.1310169687	16.4219647217
65.3619816614	23.88
54.0332616812	17.0626272731
54.2357483534	13.4334655303
63.5528942116	18.3954088511
54.1496598639	31.8697450954
80.214981525	21.686418744
59.0139626838	17.4141325749
91.1798396334	21.3968908203
45.317392542	18.0002261335
80.689305626	23.031296716
52.3053334794	24.8091008259
59.8646277262	23.3808195036
62.1794037235	20.0470114171
80.0939124602	19.3728957936
52.1625163827	21.4055216924
77.3316062176	23.2657833203
71.3368185213	16.5827575431
48.7346938776	18.455831208
62.4068992552	26.2432001758
89.9096385542	22.0051603391
82.6440560651	19.8545001039
78.4622966979	23.3237290619
58.9484078005	15.6246932967
46.3194646494	17.2431222471
82.6440560651	14.5476698142
74.531835206	27.3476866697
73.0275229358	14.8322981366
46.0737024889	23.6470762985
78.0009799118	19.3297717339
63.9614302933	20.4969743788
57.6672301376	26.1669953978
83.9810093195	23.1473852566
60.5246483335	18.1838949172
78.3593109106	18.1362497152
77.7596873982	20.7435719249
56.4205552274	23.6775568886
52.5817461191	19.3071108057
63.6715104653	16.9301666076
82.6440560651	26.2000109715
75.9541984733	18.3156925909
63.3589811621	20.5163452038
70.82900786	16.9379721247
71.9385449616	23.9470517449
49.1206417772	19.9715647738
44.8619199699	22.2460291583
60.3258810155	16.3673749143
77.5702452493	20.8905607558
89.9096385542	21.3481137136
59.1308654203	25.3489729844
73.1841863316	18.7544176549
93.28125	18.6832531393
51.8792092114	21.0100299138
73.6241714198	26.8299533734
66.8533034714	24.5868725869
65.1124744376	24.5995364409
54.3035815804	19.4359663045
