Startpoint	Solution
97.2294824882	88.1516587678
100.0	89.5953757225
98.2048574446	87.6118699953
100.0	86.2708719852
98.5691573927	87.7772534214
98.7261146497	87.4060150376
99.9462654487	89.2514395393
98.3606557377	88.1934566145
95.7282552753	84.8540145985
98.7261146497	91.4454277286
98.8310308183	85.3602569986
96.8245705362	85.9916782247
99.9462654487	86.7942137191
98.3086680761	89.0378171374
96.1240310078	91.7159763314
98.7261146497	88.6981402003
99.518459069	86.8752919197
99.9462654487	86.511627907
97.5353959098	87.2420262664
99.9462654487	87.9017013233
99.9462654487	87.9432624113
99.4120791021	91.3555992141
99.6250669523	89.5953757225
99.0415335463	88.7404580153
97.8947368421	86.4312267658
99.4120791021	89.0378171374
98.7785448752	86.9565217391
98.3606557377	88.2352941176
99.9462654487	92.2161626177
99.518459069	90.9980430528
99.0415335463	89.4230769231
99.0415335463	87.5706214689
100.0	86.3109048724
99.8389694042	90.5109489051
99.6250669523	86.7537313433
97.9978925184	85.6748042377
99.4120791021	89.6817743491
98.5169491525	88.9526542324
99.2	85.0091407678
99.2	88.5714285714
99.9462654487	89.8550724638
100.0	87.7772534214
98.4647961885	87.4471086037
99.7854077253	89.7683397683
100.0	84.6609012289
99.518459069	93.0
98.8310308183	88.2352941176
99.9462654487	90.6874695271
98.0495519241	87.5294117647
99.4120791021	90.7317073171
99.9462654487	90.8646800195
99.4652406417	86.230876217
98.5691573927	86.7942137191
99.518459069	87.1194379391
99.9462654487	85.3602569986
99.7854077253	89.5953757225
98.6737400531	88.1934566145
100.0	90.3790087464
99.358974359	85.3994490358
97.6890756303	90.3790087464
99.0415335463	86.5921787709
100.0	85.5172413793
99.2	85.9916782247
99.2529348986	86.6325104797
99.4652406417	88.995215311
99.4652406417	88.1934566145
99.518459069	87.8601794993
99.8925886144	86.230876217
99.518459069	88.613625536
100.0	88.7404580153
99.518459069	86.7537313433
100.0	84.0867992767
96.5732087227	87.2829657438
98.7261146497	86.4312267658
99.2	87.1194379391
97.8947368421	88.0681818182
99.1471215352	90.6432748538
99.4652406417	85.8725761773
99.7854077253	84.8153214774
99.9462654487	88.7828162291
99.8925886144	89.5091434071
99.8389694042	85.7142857143
99.6250669523	85.1648351648
98.4647961885	86.230876217
99.9462654487	88.2771713336
100.0	87.4882408278
99.3059263214	89.8550724638
99.6250669523	85.7538035961
99.2529348986	88.4871550904
99.7854077253	87.160262418
100.0	91.9426594167
97.7404098791	89.4230769231
99.9462654487	86.8347338936
100.0	86.4714086471
98.8310308183	90.46692607
96.8245705362	87.9017013233
96.6233766234	90.2474526929
99.2	86.9971936389
99.7854077253	87.2011251758
100.0	88.3190883191
