Startpoint	Solution
93.5781354246	99.7926606466
95.0012175671	99.6480613812
90.8178369916	99.586215857
91.3200000606	99.7589242514
92.0263563775	99.7883666573
93.6238731068	99.5317303966
88.4658867219	99.7497557113
91.2181055502	99.4306985253
92.5916857608	99.6816678913
91.6655926371	99.7218936955
89.0876797889	99.4311357661
88.189795591	99.7776149549
87.0953778864	99.8618558063
91.1492661257	99.5940383094
91.1787012957	99.8537707441
91.6250273946	99.5688938649
93.7844292481	99.6016243375
94.9271664766	99.508022371
90.3927501505	99.6336994992
91.6118332479	99.8382841563
91.5888878894	99.432902987
90.8605352475	99.8047188231
92.3240326568	99.6871429933
94.1455661889	99.573552669
93.8342789667	99.8382290524
90.0526957297	99.8708979265
86.9780897091	99.7359877303
90.6914073565	99.6388949123
92.1488232014	99.6284497553
93.920123753	99.4561559902
89.6119600848	99.8158802799
90.8635171091	99.1764944542
91.5591873261	99.8506105757
89.8585920271	99.8382841563
92.0089589995	99.6258708156
90.8638670343	99.5787783563
93.5942910737	99.6866485614
92.363364287	99.6644042004
93.134120259	99.7548532116
90.1975091541	99.6124295677
89.5892511455	99.5331908444
92.3885553804	99.6059571178
91.0333186774	99.5989919463
92.6048950303	99.1398043939
90.519631294	99.832590415
92.2967888731	99.4279840744
89.4183646534	99.5781753644
89.5029882325	99.5842056121
92.3041831459	99.5693688602
90.9322911203	99.5565638403
88.8636162666	99.6982049006
91.7595054729	99.8382290524
90.55784824	99.4429973909
88.8276734917	99.2991545609
93.3367572079	99.7462171056
91.1750246895	99.7883666573
90.229153088	99.6455912086
86.9697539361	99.8154029296
92.5236450907	99.8521171427
93.2500361286	99.5743200433
92.1711576583	99.6995237024
92.8097407754	99.8032320411
89.7648009274	99.4452570689
92.4740432393	99.8482038374
90.6150677626	99.5898893323
95.0643418194	99.6626104376
90.4977579305	99.6733556753
90.3773044741	99.6209510809
91.1311427838	99.7744779494
91.9891667566	99.5793630827
92.2311401597	99.8953124767
93.8303526365	99.7607398223
88.1651946121	99.8254649699
86.4269985886	99.6029405854
89.3789686255	99.2396649237
93.1585501471	99.419331613
91.1627102187	99.5317486519
90.2328288224	99.7805319966
92.8509489954	99.6330043794
90.9961642457	99.8221596965
90.1450980809	99.707382286
91.7066587443	99.7817245471
93.9079829235	99.3376356022
90.3872246287	99.7092692632
92.1540654267	99.5684371428
88.9497731864	99.7343380275
90.6239202581	99.8243080993
88.6257373883	99.7900548483
85.938228716	99.6886995703
91.9845045756	99.6653194103
89.9115641885	99.4053997615
92.0141697213	99.3114390786
91.8771402479	99.8552039097
90.1068845215	99.4887576551
88.7217600119	99.7184486857
90.6500035581	99.8442357284
89.9207118535	99.8614698986
92.1315359093	99.5843152598
92.659794934	99.5262723521
91.8759113868	99.6905308995
