Startpoint	Solution
26.0357610118	74.8941508546
21.1000662691	73.0275229358
22.25950783	54.1067180242
19.7731224642	53.4826427772
20.4233483002	72.6940639269
20.3363849265	55.560725919
19.2572880126	70.1115678215
27.2307429158	67.8698308938
18.099821882	70.7765263782
23.4404907975	48.8393496268
26.2937678925	100.0
21.8911857726	72.9717341482
23.9542582004	58.6012269939
24.8155460875	79.3619142572
26.8843231072	55.1119316871
19.6940332357	82.6440560651
31.1912225705	90.2835538752
25.0170237285	47.726591386
22.1881533101	56.2279255945
22.2242903676	100.0
25.2417948311	55.4639414702
26.528911848	64.2108093574
24.6962097316	79.3619142572
18.8856815216	71.0291493159
14.9792999624	79.3619142572
19.3149189145	80.689305626
14.5809800031	83.6573830793
23.326007326	42.9573664328
26.8782711464	63.6715104653
32.0903043741	84.5160148646
18.0471584039	71.3368185213
23.6599623501	59.7522832478
16.1761219306	69.8245614035
18.0328487823	67.7062659484
20.7588994654	52.91966759
27.9854681824	56.6279345506
21.0600582062	48.6701314583
16.5036801548	55.9578207381
27.1981776765	56.4672499409
18.193592625	71.1455385074
20.2090297465	80.214981525
15.2043804915	51.1568123393
23.755284755	73.5561373787
28.2252821937	78.0009799118
29.6645962733	78.0009799118
20.8814270724	57.3142925717
19.3172625789	72.9717341482
21.5825387501	62.8007889546
34.6513821374	81.0865874363
18.0029401787	80.214981525
20.8032058542	93.28125
39.3864423553	69.2274242644
17.4599692915	64.7768886478
20.3963102152	62.1794037235
19.0074421937	96.3291649859
25.331494643	76.5507292835
23.2975609756	49.1105398458
21.6913434463	70.7765263782
25.07349853	74.4853399875
23.2601178591	51.5766738661
16.591974987	52.91966759
17.0097585298	52.7851458886
19.4605166653	76.7598842816
20.5269265483	59.4843691618
19.5946500369	60.1057135666
18.901377236	55.1947301514
25.3006303968	66.4163537756
19.3996506763	80.689305626
18.4039150707	56.9384835479
17.2331673522	54.0332616812
17.0925488512	64.6103896104
18.1866646358	69.0972222222
25.1553776467	54.3035815804
21.2012251964	52.0204770722
27.2820747172	62.3254600026
20.1111672562	78.0009799118
17.8268821619	67.5912821964
22.4383368569	59.9849284099
24.3016333384	66.3333333333
20.0276764373	73.5561373787
25.2658308205	49.0701736361
18.3939919122	49.2168178071
18.9840209874	54.4583808438
18.6068256194	75.9541984733
34.6112037104	94.6117274168
44.4320401898	59.4029850746
33.4313313734	65.9031323306
17.3131298485	44.7232886974
18.260370866	56.1288047949
20.4111286807	54.390160574
18.0929651097	52.8669470888
37.3738164176	55.6967930029
16.3382594417	83.9810093195
21.0535596209	69.8245614035
18.2506018572	51.744312026
20.8631836449	96.3291649859
23.4669811321	49.4256442099
26.3242021716	49.9111714913
23.8109482501	89.9096385542
24.7936458496	72.9717341482
