Startpoint	Solution
89.709694142	99.7981545559
89.5472186287	99.8845598846
88.789122627	98.0731085293
90.3419472723	97.3558368495
90.8637437648	97.3284589426
87.4873609707	99.7118985883
93.6924742826	100.0
88.6981035366	100.0
91.0070996582	99.0271816881
89.4315245478	97.7407512002
89.224026811	98.1843971631
90.0364203954	97.7407512002
90.365535248	97.6304654443
87.0691823899	98.1287212929
87.9989829647	97.4929577465
88.3133452411	97.5479143179
88.2008154944	97.9620718936
88.7435897436	98.8010276906
87.4873609707	99.4826099454
89.5935801191	99.2259174312
89.5009050944	98.6320889142
88.8803287108	97.1099887767
88.6981035366	99.8269397173
87.4652514531	99.2828456684
87.4652514531	99.8557414887
87.9989829647	99.6831797235
89.5009050944	99.4826099454
89.8028022833	99.3398392652
89.0403910471	98.0175587652
88.2008154944	99.2543733869
88.021363174	98.2680295287
86.8724899598	97.9898074745
89.9662074344	99.6544773971
88.8347022587	99.5398331895
91.2229836584	99.6544773971
89.0633041688	97.878959276
89.0174897119	99.7118985883
87.8872524124	99.4254524562
90.4600104548	99.3968983343
87.0472837022	97.5204282897
87.9989829647	99.8845598846
91.1269088994	98.7446504993
88.789122627	99.2828456684
90.9353652128	97.4655026753
89.7329530723	97.6304654443
90.9592641261	98.9139754215
89.5240558717	97.5204282897
88.3584375798	97.2191011236
88.4261624936	97.246417533
88.2682989033	99.4254524562
91.1749209694	99.7693859902
89.1550747038	97.1099887767
89.9662074344	99.140647379
90.3183716075	98.9988558352
88.6526639344	97.8512864009
91.609317099	98.2401362475
89.4546394417	99.511213341
91.9989367358	98.9705461824
89.989599584	98.9422527158
90.1067430357	99.5971223022
91.9989367358	98.045325779
88.9946001543	99.2828456684
86.7853560682	99.5398331895
86.4169787765	97.4929577465
90.1067430357	99.1122565865
90.3891355445	99.6544773971
89.8494288681	99.4254524562
91.7307182613	99.3968983343
89.0862290862	99.4826099454
89.989599584	99.8269397173
87.6646403242	99.140647379
89.1321143446	99.5398331895
88.223298496	98.1009070295
89.7329530723	97.7959875671
87.6424411243	97.4655026753
88.6981035366	99.4826099454
89.9428274428	97.7131564088
88.6526639344	98.9988558352
90.3891355445	99.6257915947
90.7684238133	97.7959875671
90.0130039012	97.5204282897
89.6864472661	99.6544773971
89.9662074344	97.4929577465
94.2025040827	97.9066478076
87.5316135559	98.9139754215
86.4169787765	99.3398392652
89.4546394417	99.5684695052
89.4777662875	97.7959875671
87.7980720446	98.045325779
86.7201202706	99.2543733869
89.224026811	98.9705461824
88.6981035366	99.6257915947
90.5546834118	99.2259174312
87.7758052244	99.0271816881
90.8160587772	97.6304654443
88.3810010215	97.9620718936
89.4546394417	97.7407512002
88.4487605418	99.5684695052
87.5537566405	98.9139754215
89.5703933747	99.1690544413
