Startpoint	Solution
90.825500613	63.4954646097
89.7435897436	68.6327491701
95.2534019072	66.7066856757
90.7698590974	67.2364241416
95.8283927994	66.2394754489
90.7883986928	67.018469657
93.8952260245	68.1434922582
93.3137398971	63.0094266071
90.9276874297	68.8293589347
89.7164194167	65.2860395094
91.5833934274	68.0391856727
95.4989794822	66.2888673477
91.8958031838	68.3320522675
92.3924340054	66.4871737342
94.2236354001	63.1212723658
94.6348733234	67.3484848485
92.4789347758	66.3829151732
93.5887988209	64.504426063
91.2637306231	67.3076923077
96.4940844459	62.3684579767
91.030104444	68.6645554955
92.8168719983	69.3934899696
95.704596835	67.60970416
94.183705901	67.4558008954
92.6814011676	68.3058009988
88.4841246143	61.3441898979
89.3736805067	70.2489134729
94.5141399107	63.8145143924
93.8258575198	63.8007750825
92.4789347758	64.847910132
94.3035960539	67.5840048654
94.5141399107	66.5817855003
93.4903775371	64.3876294633
94.9076545319	66.3383329602
91.857821864	65.7204110298
92.3444479069	64.8195406489
91.5550978373	64.9047236621
91.5362438221	63.1033503691
92.5559604373	67.2618597261
94.9786324786	62.4648679033
96.1913005843	66.6366839068
94.6449483658	65.6961276973
95.0700459844	66.2246722288
94.1039483434	60.8362417026
92.4789347758	67.0740908405
94.3336162988	64.5465766354
90.6865245333	68.9521445746
91.4420901049	68.2114632088
90.0526742301	70.3044681692
91.0767339412	66.8421052632
95.9732268164	67.2975018925
93.1670509327	63.2380139422
94.9684862728	67.5891431613
95.1922047328	66.0426417057
92.3252674213	67.80565937
94.4338219673	65.8664888494
96.609432732	64.5325203252
94.7155337737	65.2716593245
93.0500314005	62.5483712095
92.7200667501	65.5749797153
89.6259703599	65.0614754098
95.1616356241	65.7641662968
94.4438542441	68.474158515
94.2236354001	70.2711248123
88.9177835567	66.4921465969
90.226327007	68.0443934175
92.0099358311	66.9226136706
93.6183656276	63.8695308571
89.5447219984	68.7229437229
93.2843651626	63.4592047969
91.2449964077	63.9154504278
95.6428187197	67.5994220972
91.8009087154	62.7647557187
97.4246575342	67.3076923077
96.5779467681	64.1599307159
93.5198821797	66.3482349429
93.2843651626	65.2237710932
90.0891771382	65.0043872477
92.4116424116	69.3989071038
91.8958031838	66.1409121345
93.3431331373	62.9380530973
95.3862660944	67.3025967144
91.9338159255	64.4016227181
92.3732335827	69.7254901961
92.5174315746	65.4639175258
92.4693155814	63.6318087467
91.5362438221	66.6766669167
92.3924340054	65.7544378698
92.972181552	63.4320371031
92.5752369051	65.247706422
92.0385133037	66.7517645292
94.4137638063	66.7718191377
93.5789473684	68.7335704345
92.8847560339	68.0027537673
93.1085043988	64.1553005701
93.1670509327	66.4921465969
93.6085079499	61.8779146656
90.2080162354	64.631043257
96.0146884113	68.0496019596
93.5494054509	65.6815663096
