Startpoint	Solution
95.938916436	98.5223829309
95.9418349963	98.4823882088
96.6919091271	98.374871331
96.3227658665	98.6271382556
96.3051178698	98.5808952238
96.2287178861	98.5593299791
96.3669141687	98.5531702134
96.3610253903	98.374871331
96.8017188459	98.5039197926
96.3433633725	98.3687345997
96.3993153197	98.6055527764
96.5527798188	98.6795994994
96.4966496344	98.5100734031
96.3257078281	98.6579910533
96.2228459849	98.4209212333
96.733429439	98.3625986339
96.4641830305	98.6549049049
96.023626842	98.6703375778
95.9564304622	98.3902165096
96.358081271	98.4147787555
96.140714547	98.5162277825
96.5616484492	98.3227335079
96.219910303	98.5346955354
96.6148944644	98.5685710714
96.3257078281	98.4977669509
96.5380023876	98.4885391293
96.3433633725	98.5654905147
96.1788295569	98.5778138968
96.5320926816	98.374871331
96.7393638232	98.4454988138
96.4022619593	98.4577922078
96.5734758245	98.5316170957
96.4435338369	98.6240540372
96.733429439	98.5932224584
96.629695447	98.4700886724
96.2375270819	98.5654905147
96.1231331911	98.4485718745
96.4494327044	98.5162277825
96.4759865402	98.4639400562
96.4996022275	98.4516451271
96.3315922905	98.5531702134
96.5380023876	98.5654905147
96.0002435164	98.3503289987
96.1143449243	98.6271382556
96.1670986431	98.4731632685
96.190563333	98.4147787555
96.4966496344	98.6394770588
96.4464831804	98.6518189496
96.284536712	98.3595309381
96.284536712	98.611719092
96.4435338369	98.7197545935
96.8225217204	98.5254607935
96.6711623345	98.614802539
96.3433633725	98.5069965017
96.7512347762	98.4946908182
96.3345347914	98.5593299791
95.9914777051	98.5439320085
96.4111029592	98.3656665211
96.7096991813	98.5654905147
96.2639643489	98.4301363878
96.7482667648	98.7012174131
96.3168824823	98.5685710714
96.2140394765	98.3994259149
96.962430056	98.5808952238
96.352193572	98.5408529917
96.6474626134	98.7166645799
96.3963688602	98.5346955354
96.1993655442	98.614802539
96.1289929286	98.5193052605
96.0557975208	98.3994259149
96.2992366412	98.4639400562
96.3021771657	98.4117078042
96.3993153197	98.5377741673
96.4287898245	98.4854635731
96.4435338369	98.2920900081
96.3904764816	98.5685710714
96.3315922905	98.6518189496
96.473035392	98.6024699078
96.3904764816	98.5808952238
96.7304625199	98.6641639293
96.2228459849	98.5870584558
96.2992366412	98.4823882088
96.2874763388	98.331930284
96.425841563	98.6086358378
96.4523824087	98.5624101506
96.3993153197	98.5500906193
95.9564304622	98.4209212333
95.8864126965	98.4332084894
96.1758965601	98.4547185715
96.6652363146	98.3043451156
96.6830165543	98.5685710714
96.284536712	98.55625
96.2904161451	98.6271382556
96.6563486469	98.3871470909
96.6148944644	98.5901403607
96.763108643	98.5131504967
96.3345347914	98.4209212333
96.5616484492	98.6024699078
96.4140503195	98.4332084894
96.7304625199	98.4147787555
