Startpoint	Solution
72.4390820913	94.6522411128
75.9048091225	96.8068289598
75.3630322422	93.154852449
77.186791026	96.2287869265
78.553104156	95.987460815
74.9388154674	95.8072590738
74.501216545	94.4187480728
75.2334152334	95.1522684897
76.8767260859	96.7150979154
77.479757085	95.6277326671
73.7475915222	96.0476787955
77.479757085	94.0706605223
77.362304194	94.593759654
76.2260393328	97.4848774276
78.0127388535	95.5382215289
77.2646984608	97.2063492063
77.284199899	95.478640474
74.4468757598	96.8680797216
77.2646984608	96.1381475667
79.6358907672	96.6845595201
81.5663292488	94.3024330151
75.0858263855	95.9573801316
75.0306297476	96.5321563682
75.0674184849	96.1985548225
73.8365083193	95.3597010277
75.1964636542	96.8374446553
77.2646984608	99.7069358515
76.5691422856	97.796231236
74.3023537976	95.0636448308
76.6074555917	93.0982061417
73.3062006225	94.9751861042
78.1920326864	96.8680797216
71.4252390949	95.0931677019
73.7120847376	96.5930599369
75.1042433162	97.3608903021
74.9021526419	96.3802329241
75.1042433162	96.349905601
73.4468697529	95.1227089158
72.0301105622	95.8372456964
75.4558896008	95.3597010277
76.7610930058	97.7026164646
75.0858263855	95.987460815
72.3534971645	96.2590380384
78.492694181	94.6815089672
75.0306297476	98.141025641
77.6763064434	97.2372181645
75.8484022789	97.0215462611
76.9733534439	95.8372456964
74.5193477732	96.1985548225
