Startpoint	Solution
78.3965024658	94.1761813528
77.1774442329	95.598264921
82.1062471283	97.1037070943
80.5534090102	96.2437552896
82.5655895721	95.4167170806
81.5065045948	94.9273314388
81.0202773478	95.6870265251
78.1590151078	94.1483177095
80.311228398	94.6148750156
79.1883413847	96.175626879
77.2798735439	93.0087249922
78.7604106056	94.6469664317
80.162330703	97.2447920995
78.8014719299	94.7973449709
82.0659403307	94.3491084247
78.8160247511	93.9058200428
81.7649882907	93.5561074618
79.6393014347	94.327519138
80.6648225317	95.6645683951
81.3547880691	94.6072256604
82.6080817972	95.0263000723
79.4065756063	94.5672717224
80.3149623732	94.4387605012
80.5423203478	92.0895507232
85.5150905101	95.7016678362
80.8177550834	93.4423611415
80.7679120096	94.6533873274
77.4769445002	97.0024413658
81.89013172	94.4874649997
78.5406071313	96.0289812104
79.8663613747	95.1486792374
80.8701836049	94.8481560404
82.0605567055	95.22110839
79.8250613386	93.2430105205
81.3639116295	95.0175885254
77.9274818425	93.2262367039
77.5625880637	98.0474884117
79.4394406231	94.461876577
78.8367503944	95.9185292321
79.2999951908	94.4695024453
80.2224266576	94.7953632035
75.8121212121	98.1291776334
80.1975973506	96.8188854489
76.1709284697	91.7671373569
78.5923353402	94.2177630485
82.2048589473	94.687976362
78.7245170335	94.2339164272
79.7917010349	95.366298007
79.7248887951	95.2343573615
81.5433307333	93.6667449889
77.8493834473	94.6267216194
82.1307849224	95.3399808669
77.6761873765	97.2669551741
81.5581805265	97.8362065246
77.2104615673	94.1981906186
79.7007166805	95.5703088981
81.0027286653	96.6630605088
80.4987107282	96.6236678857
81.5077865381	95.320440392
78.7398959862	97.2169070551
78.8880117779	97.6345041044
82.0045346963	94.8345184566
76.7132818332	94.408775651
77.6961513996	95.4352927558
78.8701741722	94.3137856445
82.8624422379	96.9588842649
80.6610559552	96.4118087928
79.8382375597	94.4365478533
77.6063940167	94.531539091
77.1736679303	92.4198882078
80.9508507671	96.727496707
80.1316969512	97.7186649786
79.8589769555	96.0806125665
76.1653309706	95.0514480659
81.4964335861	96.6914018562
79.4072708806	96.8103588613
81.2385508064	93.7386302559
79.4648470444	95.0083809125
84.9418128176	96.6643483915
78.7455364411	96.0816304909
80.5643218033	96.491050743
85.7532225923	95.1401947594
76.8996445023	96.6996497326
80.839907296	96.8191438538
80.9741604836	96.8954335655
82.0186257464	97.832512581
78.240436192	95.9114283826
79.6968645096	93.1034925263
76.6735570379	97.5174464242
79.6104637128	95.977913182
80.4266083725	93.7963149702
80.7328607832	94.0175304009
79.1881685222	95.3748228619
81.3447545156	95.0011653821
78.7301552852	98.849268633
79.9077041687	95.5919670926
83.1227544361	95.7698846836
77.2530479689	94.3886325967
80.183947782	95.0686360325
79.8226022589	94.7649039579
