Startpoint	Solution
62.5049691744	88.7084863885
56.9578933199	89.8868994428
51.0776581531	87.3736870923
55.0770537769	93.2114499643
56.848038372	91.0734968958
57.2459487974	92.3081625251
57.8374102338	87.3547626934
56.501607418	95.6824510224
53.8865412845	90.4731642768
54.4652331708	87.5061896719
54.3516064285	93.1883776979
56.3095215444	90.9282552192
50.6922929757	91.1084808746
56.8698066465	93.4919265664
51.6569192198	88.7245833181
62.0257683128	91.2980833732
58.7536834275	86.2677539298
58.2083736598	92.7482954119
57.2572090439	90.5128265184
55.291759971	93.7969437826
52.087614623	91.7719472591
59.4831478561	86.9696071038
57.2022120934	97.4926852445
54.7027076051	90.9009624254
59.0889336365	89.4250217235
53.7674538578	91.0021352432
60.2779033756	91.7480087681
60.6169593025	90.8969272656
54.1752045869	89.7437671599
52.3767844206	92.3708098123
53.5272000265	85.708536454
55.5361621271	89.3993504161
52.1124325142	95.5778040421
53.3765337771	87.1871214592
53.1533076313	88.5827152923
57.3072145678	91.8274471732
58.2305565539	94.5301259765
57.1236220411	91.4450619248
57.0771019625	90.4733180299
56.4727204235	93.256084581
57.9094531319	94.6687159785
50.4173366067	88.6213317785
56.2045095015	88.5827902826
52.168177964	90.9281701072
55.0270693921	88.4337945875
56.8890387097	90.5665954607
54.2584515693	89.5117764299
57.275404513	93.8497299446
58.3607849862	96.072591181
54.2677548784	91.1435436234
56.9335712926	92.997880333
58.4706196974	91.7049299311
53.882973536	97.5671084789
54.8285179843	94.8825855992
59.9406928244	93.1481347017
56.0787722597	88.8189936135
51.9912013053	90.611790032
57.1321546473	92.9900918909
51.1546970227	93.6394352177
55.4180141674	91.7756088449
52.9515780596	89.8270777831
55.8426498028	90.5202546201
59.5940043877	91.8548143796
59.3022469937	84.2400327388
57.637973492	88.3036068176
55.1916851141	90.3210331869
59.7917256082	93.9426025307
58.2197071878	86.0030695081
59.7513220156	92.5224902493
59.5816313379	86.7311014164
54.2301803076	87.5576925503
56.5236271847	89.4261049625
55.1344380607	88.542361841
55.0329330485	93.2731099898
55.8350110813	86.1801143941
54.7337455336	95.6244243261
56.3875754418	94.4419332503
61.0023431192	92.8720193575
55.9714042648	99.645591221
56.7459665399	90.4893408912
61.2484290678	92.5759631426
51.7067301256	88.3592958025
56.0180658341	89.0583650789
57.9329749123	93.6503759603
62.5826168985	93.5106002696
56.7120264576	96.8047570357
58.1312486758	89.8142565012
58.8949048036	94.592950736
56.6996894954	85.771698357
55.7994847967	87.6476000926
55.8331798504	88.1584455793
59.7587261782	93.1436638148
57.804844376	87.1479508033
55.7965358361	94.1427691518
51.7173236659	91.1673128492
59.8740678051	98.2661335461
56.4335335611	90.9558842894
53.7569881482	91.8837731246
53.4659427695	84.3007652047
53.1845763155	91.8066100102
