i current best mean
0 99.65869367 99.65869367 99.65869367
1 99.7955235115 99.7955235115 99.7271085907
2 99.3578059759 99.7955235115 99.6040077191
3 99.3022072342 99.7955235115 99.5285575979
4 99.8148521466 99.8148521466 99.5858165076
5 99.53987294 99.8148521466 99.5781592464
6 99.6044031237 99.8148521466 99.5819083717
7 99.1758056994 99.8148521466 99.5311455377
8 99.4047078236 99.8148521466 99.5170969028
9 99.7879813173 99.8148521466 99.5441853442
10 99.6760469239 99.8148521466 99.5561727606
11 99.4475168496 99.8148521466 99.5471181013
12 99.8426742905 99.8426742905 99.5698531928
13 99.7272999089 99.8426742905 99.5810993868
14 99.7888620987 99.8426742905 99.5949502343
15 99.4526381843 99.8426742905 99.5860557311
16 99.776532574 99.8426742905 99.5972602513
17 99.5989919463 99.8426742905 99.5973564566
18 99.8576661106 99.8576661106 99.6110569647
19 99.4529662593 99.8576661106 99.6031524294
20 99.5884820486 99.8576661106 99.6024538398
21 99.7190167294 99.8576661106 99.607752153
22 99.6180433621 99.8576661106 99.6081995969
23 99.7733039162 99.8576661106 99.6150789435
24 99.5956468164 99.8576661106 99.6143016584
25 99.5315478436 99.8576661106 99.6111188194
26 99.6521603082 99.8576661106 99.6126388745
27 99.3786215107 99.8576661106 99.6042811115
28 99.8062423617 99.8576661106 99.6112452926
29 99.610985078 99.8576661106 99.6112366188
30 99.7852106273 99.8576661106 99.6168486836
31 99.8165595939 99.8576661106 99.6230896495
32 99.0695078664 99.8576661106 99.606314444
33 99.4537500027 99.8576661106 99.6018272545
34 99.7086830102 99.8576661106 99.6048802761
35 99.6599748218 99.8576661106 99.6064106801
36 99.7579156295 99.8576661106 99.6105054085
37 99.8418109282 99.8576661106 99.6165923959
38 99.7502324338 99.8576661106 99.6200190635
39 99.5979317169 99.8576661106 99.6194668798
40 99.8256302393 99.8576661106 99.6244952545
41 99.4719436134 99.8576661106 99.6208630725
42 99.5657334342 99.8576661106 99.6195809879
43 99.4039976868 99.8576661106 99.6146813674
44 99.4030508536 99.8576661106 99.6099784671
45 99.7860913597 99.8576661106 99.6138070083
46 99.6344495078 99.8576661106 99.6142462104
47 99.4454757529 99.8576661106 99.6107301592
48 100.0 100.0 99.6186744417
49 99.6644042004 100.0 99.6195890368
50 99.8234634171 100.0 99.6235865737
51 99.7289493788 100.0 99.6256127815
52 99.7871739481 100.0 99.6286611054
53 99.8442357284 100.0 99.632653228
54 99.8101340208 100.0 99.6358801515
55 99.7389756642 100.0 99.6377211428
56 99.5233154008 100.0 99.6357140246
57 99.3193274866 100.0 99.6302590842
58 99.6735204415 100.0 99.6309923276
59 99.768076135 100.0 99.6332770577
60 99.4492299775 100.0 99.6302598925
61 99.2491211154 100.0 99.6241124928
62 99.7864583362 100.0 99.626689411
63 99.7567053101 100.0 99.6287209094
64 99.5872941127 100.0 99.6280835741
65 99.4773045236 100.0 99.625799043
66 99.6826749719 100.0 99.6266479375
67 99.7386823621 100.0 99.6282955025
68 99.7635641749 100.0 99.6302559181
69 99.6219020698 100.0 99.6301365774
70 99.5462089794 100.0 99.6289544985
71 99.5842056121 100.0 99.6283329862
72 99.6724769318 100.0 99.6289376978
73 99.4882651891 100.0 99.627036718
74 98.7509348881 100.0 99.6153553602
75 99.9052067088 100.0 99.6191691938
76 99.8143931653 100.0 99.62170457
77 99.7456120842 100.0 99.6232931279
78 99.650385285 100.0 99.6236360666
79 99.8440336572 100.0 99.6263910365
80 99.5781753644 100.0 99.6257957813
81 99.5119638002 100.0 99.6244075864
82 99.420260542 100.0 99.6219479834
83 99.570044823 100.0 99.6213300887
84 99.8165595939 100.0 99.6236269064
85 99.780917279 100.0 99.6254558642
86 99.5095368647 100.0 99.6241234619
87 99.5711958077 100.0 99.6235220113
88 99.660432384 100.0 99.6239367346
89 99.8629767933 100.0 99.6265927352
90 99.6045310979 100.0 99.6263502997
91 99.6291813938 100.0 99.6263810724
92 99.4463869464 100.0 99.6244456517
93 99.4939379628 100.0 99.623057272
94 99.5340123652 100.0 99.6221199572
95 99.8061872932 100.0 99.6240373253
96 99.4982248929 100.0 99.6227402899
97 99.7408455053 100.0 99.6239454452
98 99.634723904 100.0 99.6240543185
99 99.912288357 100.0 99.6269366589
