i current best mean
0 74.8941508546 74.8941508546 74.8941508546
1 73.0275229358 74.8941508546 73.9608368952
2 54.1067180242 74.8941508546 67.3427972716
3 53.4826427772 74.8941508546 63.877758648
4 72.6940639269 74.8941508546 65.6410197038
5 55.560725919 74.8941508546 63.9609707396
6 70.1115678215 74.8941508546 64.8396274656
7 67.8698308938 74.8941508546 65.2184028941
8 70.7765263782 74.8941508546 65.8359721701
9 48.8393496268 74.8941508546 64.1363099158
10 100.0 100.0 67.396645378
11 72.9717341482 100.0 67.8612361089
12 58.6012269939 100.0 67.1489277154
13 79.3619142572 100.0 68.021283897
14 55.1119316871 100.0 67.1606604163
15 82.6440560651 100.0 68.1283726443
16 90.2835538752 100.0 69.4316185991
17 47.726591386 100.0 68.2257837539
18 56.2279255945 100.0 67.594317535
19 100.0 100.0 69.2146016583
20 55.4639414702 100.0 68.559808316
21 64.2108093574 100.0 68.3621265451
22 79.3619142572 100.0 68.8403781848
23 71.0291493159 100.0 68.9315769819
24 79.3619142572 100.0 69.3487904729
25 80.689305626 100.0 69.7849641327
26 83.6573830793 100.0 70.298757427
27 42.9573664328 100.0 69.3222791772
28 63.6715104653 100.0 69.1274250837
29 84.5160148646 100.0 69.6403780764
30 71.3368185213 100.0 69.6951019617
31 59.7522832478 100.0 69.3843888769
32 69.8245614035 100.0 69.3977274383
33 67.7062659484 100.0 69.3479785709
34 52.91966759 100.0 68.8785982572
35 56.6279345506 100.0 68.5383020431
36 48.6701314583 100.0 68.0013244598
37 55.9578207381 100.0 67.6843901513
38 56.4672499409 100.0 67.3967711715
39 71.1455385074 100.0 67.4904903549
40 80.214981525 100.0 67.8008437981
41 51.1568123393 100.0 67.4045573348
42 73.5561373787 100.0 67.5476173358
43 78.0009799118 100.0 67.785193758
44 78.0009799118 100.0 68.0122112281
45 57.3142925717 100.0 67.779647779
46 72.9717341482 100.0 67.8901177018
47 62.8007889546 100.0 67.7840900196
48 81.0865874363 100.0 68.0555695587
49 80.214981525 100.0 68.298757798
50 93.28125 100.0 68.7886105863
51 69.2274242644 100.0 68.7970493109
52 64.7768886478 100.0 68.7211972229
53 62.1794037235 100.0 68.6000528988
54 96.3291649859 100.0 69.1042185731
55 76.5507292835 100.0 69.2371919787
56 49.1105398458 100.0 68.8840928184
57 70.7765263782 100.0 68.9167209833
58 74.4853399875 100.0 69.0111043562
59 51.5766738661 100.0 68.7205305147
60 52.91966759 100.0 68.461499975
61 52.7851458886 100.0 68.2086555542
62 76.7598842816 100.0 68.3443893435
63 59.4843691618 100.0 68.2059515282
64 60.1057135666 100.0 68.0813324826
65 55.1947301514 100.0 67.8860809322
66 66.4163537756 100.0 67.8641447059
67 80.689305626 100.0 68.0527500136
68 56.9384835479 100.0 67.891673688
69 54.0332616812 100.0 67.6936963736
70 64.6103896104 100.0 67.6502695178
71 69.0972222222 100.0 67.6703660831
72 54.3035815804 100.0 67.4872594461
73 52.0204770722 100.0 67.2782488735
74 62.3254600026 100.0 67.2122116885
75 78.0009799118 100.0 67.3541691652
76 67.5912821964 100.0 67.3572485552
77 59.9849284099 100.0 67.2627316302
78 66.3333333333 100.0 67.2509670948
79 73.5561373787 100.0 67.3297817234
80 49.0701736361 100.0 67.1043544631
81 49.2168178071 100.0 66.8862137721
82 54.4583808438 100.0 66.7364808453
83 75.9541984733 100.0 66.8462155789
84 94.6117274168 100.0 67.1728686594
85 59.4029850746 100.0 67.0825211759
86 65.9031323306 100.0 67.0689649822
87 44.7232886974 100.0 66.8150368426
88 56.1288047949 100.0 66.6949668196
89 54.390160574 100.0 66.5582467502
90 52.8669470888 100.0 66.4077929078
91 55.6967930029 100.0 66.2913689958
92 83.9810093195 100.0 66.4815801821
93 69.8245614035 100.0 66.5171438121
94 51.744312026 100.0 66.3616403196
95 96.3291649859 100.0 66.6738020349
96 49.4256442099 100.0 66.4959859748
97 49.9111714913 100.0 66.326753174
98 89.9096385542 100.0 66.5649641374
99 72.9717341482 100.0 66.6290318375
