i current best mean
0 97.1428571429 97.1428571429 97.1428571429
1 94.4444444444 97.1428571429 95.7936507937
2 91.8918918919 97.1428571429 94.4930644931
3 94.4444444444 97.1428571429 94.4809094809
4 94.4444444444 97.1428571429 94.4736164736
5 94.4444444444 97.1428571429 94.4687544688
6 97.1428571429 97.1428571429 94.8507691365
7 94.4444444444 97.1428571429 94.79997855
8 100.0 100.0 95.3777587111
9 100.0 100.0 95.83998284
10 100.0 100.0 96.2181662182
11 97.1428571429 100.0 96.2952237952
12 97.1428571429 100.0 96.3604263604
13 100.0 100.0 96.6203959061
14 100.0 100.0 96.8457028457
15 89.4736842105 100.0 96.384951681
16 97.1428571429 100.0 96.4295343552
17 100.0 100.0 96.6278935577
18 94.4444444444 100.0 96.5129751833
19 100.0 100.0 96.6873264242
20 94.4444444444 100.0 96.5805225204
21 94.4444444444 100.0 96.4834280624
22 100.0 100.0 96.6363224944
23 91.8918918919 100.0 96.438637886
24 89.4736842105 100.0 96.160039739
25 100.0 100.0 96.3077305183
26 100.0 100.0 96.4444812398
27 94.4444444444 100.0 96.3730513543
28 100.0 100.0 96.4981185489
29 94.4444444444 100.0 96.4296627455
30 97.1428571429 100.0 96.4526690163
31 91.8918918919 100.0 96.3101447312
32 91.8918918919 100.0 96.1762582815
33 97.1428571429 100.0 96.2046876598
34 91.8918918919 100.0 96.0814649236
35 94.4444444444 100.0 96.0359921325
36 94.4444444444 100.0 95.9929773301
37 100.0 100.0 96.0984252951
38 91.8918918919 100.0 95.9905654642
39 94.4444444444 100.0 95.9519124388
40 97.1428571429 100.0 95.9809598706
41 97.1428571429 100.0 96.0086240913
42 91.8918918919 100.0 95.9128861332
43 100.0 100.0 96.0057750847
44 100.0 100.0 96.0945356384
45 100.0 100.0 96.1794370376
46 97.1428571429 100.0 96.1999353377
47 100.0 100.0 96.2791033515
48 100.0 100.0 96.3550400178
49 100.0 100.0 96.4279392174
50 97.1428571429 100.0 96.441957216
51 100.0 100.0 96.5103811156
52 91.8918918919 100.0 96.4232398095
53 97.1428571429 100.0 96.4365660564
54 94.4444444444 100.0 96.4003456635
55 91.8918918919 100.0 96.3198375604
56 100.0 100.0 96.3844018138
57 100.0 100.0 96.4467397135
58 97.1428571429 100.0 96.458538314
59 94.4444444444 100.0 96.4249700829
60 100.0 100.0 96.4835771307
61 100.0 100.0 96.5402936286
62 94.4444444444 100.0 96.5070261812
63 91.8918918919 100.0 96.4349147079
64 91.8918918919 100.0 96.3650220492
65 94.4444444444 100.0 96.3359223886
66 91.8918918919 100.0 96.2695935752
67 91.8918918919 100.0 96.2052156092
68 94.4444444444 100.0 96.1796971866
69 89.4736842105 100.0 96.0838970012
70 100.0 100.0 96.1390533815
71 100.0 100.0 96.19267764
72 100.0 100.0 96.2448327409
73 94.4444444444 100.0 96.2205031693
74 97.1428571429 100.0 96.2328012223
75 100.0 100.0 96.2823696272
76 100.0 100.0 96.3306505412
77 97.1428571429 100.0 96.3410634463
78 91.8918918919 100.0 96.2847448191
79 97.1428571429 100.0 96.2954712231
80 100.0 100.0 96.3412061463
81 100.0 100.0 96.3858255835
82 100.0 100.0 96.4293698536
83 100.0 100.0 96.4718773553
84 91.8918918919 100.0 96.4179951734
85 94.4444444444 100.0 96.3950469091
86 100.0 100.0 96.4364831515
87 89.4736842105 100.0 96.3573604363
88 97.1428571429 100.0 96.366186242
89 94.4444444444 100.0 96.3448335554
90 100.0 100.0 96.3850002196
91 94.4444444444 100.0 96.363907222
92 100.0 100.0 96.4030049938
93 97.1428571429 100.0 96.4108757614
94 100.0 100.0 96.4486560165
95 100.0 100.0 96.485649183
96 91.8918918919 100.0 96.4382908604
97 100.0 100.0 96.4746348312
98 94.4444444444 100.0 96.4541278576
99 91.8918918919 100.0 96.408505498
