i current best mean
0 97.7683615819 97.7683615819 97.7683615819
1 97.6029328821 97.7683615819 97.685647232
2 98.5759043008 98.5759043008 97.9823995883
3 99.055523755 99.055523755 98.25068063
4 99.4826099454 99.4826099454 98.497066493
5 99.5684695052 99.5684695052 98.6756336617
6 98.4357224118 99.5684695052 98.641360626
7 100.0 100.0 98.8111905478
8 97.9343520091 100.0 98.7137640435
9 97.823629169 100.0 98.624750556
10 98.1009070295 100.0 98.5771284173
11 98.379761228 100.0 98.5606811515
12 99.5684695052 100.0 98.6382033325
13 99.7981545559 100.0 98.7210569913
14 99.7693859902 100.0 98.7909455913
15 99.1690544413 100.0 98.8145773944
16 97.246417533 100.0 98.7223326967
17 97.6029328821 100.0 98.6601438181
18 99.9133949192 100.0 98.7261044023
19 99.6831797235 100.0 98.7739581684
20 99.942246607 100.0 98.8295909512
21 97.878959276 100.0 98.7863804205
22 99.3968983343 100.0 98.8129246776
23 99.4826099454 100.0 98.8408282305
24 99.511213341 100.0 98.8676436349
25 98.5197836607 100.0 98.8542644051
26 99.8845598846 100.0 98.8924234969
27 97.1918000562 100.0 98.8316869455
28 99.055523755 100.0 98.8394054561
29 97.878959276 100.0 98.8073905835
30 97.7131564088 100.0 98.7720927069
31 98.5759043008 100.0 98.7659618192
32 99.3398392652 100.0 98.7833520448
33 99.8845598846 100.0 98.8157405107
34 99.4540229885 100.0 98.8339771529
35 99.4540229885 100.0 98.8512006484
36 99.3398392652 100.0 98.8644070975
37 99.8845598846 100.0 98.8912532234
38 98.6602052452 100.0 98.8853289163
39 99.6257915947 100.0 98.9038404833
40 99.4254524562 100.0 98.9165627265
41 98.6602052452 100.0 98.9104589769
42 99.0838820498 100.0 98.9144920717
43 97.5204282897 100.0 98.8828088039
44 99.8269397173 100.0 98.9037894909
45 99.8269397173 100.0 98.923857974
46 99.5684695052 100.0 98.937573113
47 99.055523755 100.0 98.940030418
48 98.5759043008 100.0 98.9325992728
49 99.8845598846 100.0 98.951638485
50 97.878959276 100.0 98.9306055594
51 99.7118985883 100.0 98.9456304253
52 99.7693859902 100.0 98.9611729831
53 97.246417533 100.0 98.9294182526
54 97.5754158444 100.0 98.904800027
55 98.9988558352 100.0 98.906479595
56 99.9133949192 100.0 98.9241447761
57 99.8269397173 100.0 98.9397102061
58 97.7683615819 100.0 98.9198568396
59 99.1690544413 100.0 98.924010133
60 98.829240434 100.0 98.9224565313
61 99.4826099454 100.0 98.9314912638
62 98.716486024 100.0 98.9280784822
63 97.5204282897 100.0 98.906083948
64 99.2543733869 100.0 98.911442247
65 97.5204282897 100.0 98.890366278
66 99.8557414887 100.0 98.9047748632
67 98.603988604 100.0 98.9003515359
68 97.7131564088 100.0 98.8831458094
69 99.4826099454 100.0 98.8917095828
70 99.7693859902 100.0 98.9040712223
71 99.7981545559 100.0 98.9164890464
72 99.7981545559 100.0 98.9285666561
73 99.942246607 100.0 98.9422650338
74 99.3398392652 100.0 98.9475660236
75 99.7981545559 100.0 98.958757978
76 97.5479143179 100.0 98.940435333
77 97.5479143179 100.0 98.9225824995
78 99.5684695052 100.0 98.9307582844
79 98.2680295287 100.0 98.9224741749
80 99.3398392652 100.0 98.9276268304
81 99.511213341 100.0 98.934743739
82 99.0271816881 100.0 98.9358574493
83 99.8269397173 100.0 98.9464655715
84 97.7683615819 100.0 98.9326055246
85 98.156551333 100.0 98.9235816386
86 99.1690544413 100.0 98.9264031651
87 99.4826099454 100.0 98.9327236967
88 97.2191011236 100.0 98.9134695105
89 97.9620718936 100.0 98.9028984258
90 99.0271816881 100.0 98.904264176
91 99.511213341 100.0 98.9108614495
92 99.3683606087 100.0 98.9157807953
93 99.1690544413 100.0 98.9184751958
94 96.7300167691 100.0 98.8954387913
95 98.8857142857 100.0 98.8953374944
96 97.7131564088 100.0 98.8831500605
97 97.7407512002 100.0 98.8714929293
98 99.7118985883 100.0 98.8799818753
99 97.6304654443 100.0 98.867486711
