i current best mean
0 92.6524231371 92.6524231371 92.6524231371
1 95.1107307157 95.1107307157 93.8815769264
2 91.8863049096 95.1107307157 93.2164862541
3 94.3937141644 95.1107307157 93.5107932317
4 93.6085079499 95.1107307157 93.5303361753
5 94.1438102298 95.1107307157 93.6325818511
6 93.5100452298 95.1107307157 93.6150766195
7 94.5040926969 95.1107307157 93.7262036291
8 92.5366919954 95.1107307157 93.5940356698
9 93.6282253818 95.1107307157 93.597454641
10 93.9945020089 95.1107307157 93.6335498563
11 91.1420955505 95.1107307157 93.4259286641
12 94.776119403 95.1107307157 93.5297894902
13 97.0948012232 97.0948012232 93.7844331854
14 92.9235915125 97.0948012232 93.7270437406
15 93.5100452298 97.0948012232 93.7134813336
16 94.604661062 97.0948012232 93.7659036706
17 89.8161244696 97.0948012232 93.5464714928
18 96.3790112749 97.0948012232 93.6955525339
19 90.8347808317 97.0948012232 93.5525139488
20 91.1981945014 97.0948012232 93.440403499
21 94.0939881456 97.0948012232 93.470111892
22 94.6953557733 97.0948012232 93.5233833651
23 93.1670509327 97.0948012232 93.5085361804
24 93.1572880645 97.0948012232 93.4944862558
25 94.9786324786 97.0948012232 93.5515688028
26 95.4887218045 97.0948012232 93.6233152103
27 90.7142857143 97.0948012232 93.5194212997
28 94.4739638682 97.0948012232 93.5523365607
29 95.6634025611 97.0948012232 93.6227054274
30 93.3627389204 97.0948012232 93.614319411
31 93.5789473684 97.0948012232 93.6132140347
32 91.6400371096 97.0948012232 93.5534207945
33 94.816552901 97.0948012232 93.5905717388
34 96.4417444131 97.0948012232 93.6720338152
35 93.1865828092 97.0948012232 93.6585490651
36 93.3725449007 97.0948012232 93.6508192228
37 91.6305916306 97.0948012232 93.5976553388
38 89.8070512173 97.0948012232 93.5004603613
39 93.6282253818 97.0948012232 93.5036544868
40 92.4116424116 97.0948012232 93.477020046
41 93.0402930403 97.0948012232 93.4666217839
42 93.0890052356 97.0948012232 93.4578400037
43 94.1737288136 97.0948012232 93.474110204
44 95.3555722407 97.0948012232 93.5159204714
45 93.9051441851 97.0948012232 93.5243818565
46 91.8198719273 97.0948012232 93.4881156878
47 95.6839952642 97.0948012232 93.533863179
48 92.4020372103 97.0948012232 93.5107646898
49 90.3363479321 97.0948012232 93.4472763547
50 90.6125777189 97.0948012232 93.3916940285
51 93.7170567152 97.0948012232 93.3979510032
52 95.2227934876 97.0948012232 93.4323819935
53 91.273100616 97.0948012232 93.3923953013
54 92.4116424116 97.0948012232 93.3745634306
55 93.0500314005 97.0948012232 93.3687682158
56 91.3669064748 97.0948012232 93.3336478344
57 97.3073555166 97.3073555166 93.4021600358
58 91.7345991126 97.3073555166 93.3738962913
59 94.2935935511 97.3073555166 93.389224579
60 93.3627389204 97.3073555166 93.3887903879
61 93.8952260245 97.3073555166 93.3969587046
62 92.6717398103 97.3073555166 93.3854472936
63 93.9746300211 97.3073555166 93.3946532737
64 94.7660164162 97.3073555166 93.4157511682
65 94.6751863685 97.3073555166 93.4348335197
66 93.6183656276 97.3073555166 93.4375728049
67 94.3035960539 97.3073555166 93.4503084409
68 96.7882416984 97.3073555166 93.4986842852
69 93.0402930403 97.3073555166 93.4921358389
70 94.8367825901 97.3073555166 93.5110745255
71 93.697301855 97.3073555166 93.5136610162
72 91.273100616 97.3073555166 93.482968408
73 92.0289855072 97.3073555166 93.4633199904
74 95.9732268164 97.3073555166 93.4967854147
75 91.0487505121 97.3073555166 93.4645744292
76 93.2256711409 97.3073555166 93.4614717891
77 92.3924340054 97.3073555166 93.4477661765
78 94.5945945946 97.3073555166 93.4622829919
79 90.153128486 97.3073555166 93.4209185605
80 90.6495360457 97.3073555166 93.3867039616
81 95.294243756 97.3073555166 93.409966642
82 95.5297657425 97.3073555166 93.4355063902
83 96.420824295 97.3073555166 93.4710458891
84 94.9076545319 97.3073555166 93.4879471672
85 90.4834605598 97.3073555166 93.4530112764
86 93.4117894294 97.3073555166 93.4525374621
87 91.9718601283 97.3073555166 93.4357115833
88 90.4650452834 97.3073555166 93.4023333103
89 90.8347808317 97.3073555166 93.3738049494
90 92.1721099015 97.3073555166 93.3605995093
91 94.313600679 97.3073555166 93.3709582177
92 94.6550255537 97.3073555166 93.3847653934
93 91.9433240252 97.3073555166 93.3694309107
94 92.9624594792 97.3073555166 93.3651470009
95 92.0194596833 97.3073555166 93.3511294247
96 91.6683852341 97.3073555166 93.3337815464
97 93.4314240673 97.3073555166 93.3347778987
98 93.0208224338 97.3073555166 93.3316066314
99 91.4420901049 97.3073555166 93.3127114661
