i current best mean
0 98.4485718745 98.4485718745 98.4485718745
1 98.5993872319 98.5993872319 98.5239795532
2 98.4916148777 98.5993872319 98.5131913281
3 98.5100734031 98.5993872319 98.5124118468
4 98.6950398999 98.6950398999 98.5489374574
5 98.611719092 98.6950398999 98.5594010632
6 98.3441953288 98.6950398999 98.5286573868
7 98.4946908182 98.6950398999 98.5244115658
8 98.5685710714 98.6950398999 98.5293181775
9 98.3779399838 98.6950398999 98.5141803581
10 98.6024699078 98.6950398999 98.5222066808
11 98.439353268 98.6950398999 98.5153022298
12 98.611719092 98.6950398999 98.5227189115
13 98.5008432757 98.6950398999 98.5211563661
14 98.5254607935 98.6950398999 98.5214433279
15 98.6024699078 98.6950398999 98.5265074891
16 98.5131504967 98.6950398999 98.5257217837
17 98.460866036 98.6950398999 98.5221186866
18 98.5377741673 98.6950398999 98.5229426593
19 98.4147787555 98.6950398999 98.5175344641
20 98.5624101506 98.6950398999 98.5196714015
21 98.4485718745 98.6950398999 98.5164396049
22 98.614802539 98.6950398999 98.5207162542
23 98.5901403607 98.6950398999 98.5236089253
24 98.6857750798 98.6950398999 98.5300955715
25 98.2982171799 98.6950398999 98.5211771718
26 98.5039197926 98.6950398999 98.5205380096
27 98.5470112177 98.6950398999 98.5214834813
28 98.4117078042 98.6950398999 98.5176981131
29 98.55625 98.6950398999 98.518983176
30 98.5100734031 98.6950398999 98.518695764
31 98.3441953288 98.6950398999 98.5132426254
32 98.4454988138 98.6950398999 98.5111897826
33 98.5131504967 98.6950398999 98.5112474507
34 98.6549049049 98.6950398999 98.5153519494
35 98.5685710714 98.6950398999 98.5168302583
36 98.6333072713 98.6950398999 98.5199782857
37 98.5500906193 98.6950398999 98.5207707155
38 98.5716518206 98.6950398999 98.5220753592
39 98.4793130367 98.6950398999 98.5210063012
40 98.5839767435 98.6950398999 98.5225421656
41 98.4516451271 98.6950398999 98.5208541409
42 98.6487331874 98.6950398999 98.5238280722
