i current best mean
0 96.6740576497 96.6740576497 96.6740576497
1 98.5867721877 98.5867721877 97.6304149187
2 95.092693566 98.5867721877 96.7845078011
3 95.1965065502 98.5867721877 96.3875074884
4 95.4048140044 98.5867721877 96.1909687916
5 97.1046770601 98.5867721877 96.343253503
6 98.3643542019 98.5867721877 96.6319821743
7 95.9295929593 98.5867721877 96.5441835224
8 98.8662131519 98.8662131519 96.8021868146
9 94.7311243889 98.8662131519 96.595080572
10 95.4570333881 98.8662131519 96.4916217371
11 97.9775280899 98.8662131519 96.6154472665
12 95.8768554151 98.8662131519 96.5586325087
13 96.08815427 98.8662131519 96.5250269202
14 95.4048140044 98.8662131519 96.4503460592
15 97.1046770601 98.8662131519 96.4912417467
16 95.3005464481 98.8662131519 96.4212008468
17 92.3239809423 98.8662131519 96.1935775188
18 94.8857453754 98.8662131519 96.1247442481
19 96.7813540511 98.8662131519 96.1575747382
20 97.5937325126 98.8662131519 96.2259632037
21 97.2671500279 98.8662131519 96.2732898775
22 98.4754376059 98.8662131519 96.3690354309
23 95.2484980885 98.8662131519 96.322346375
24 98.6983588002 98.8662131519 96.417386872
25 94.0161725067 98.8662131519 96.3250324733
26 93.9655172414 98.8662131519 96.2376430203
27 97.7030812325 98.8662131519 96.2899800993
28 97.3757677275 98.8662131519 96.327421052
29 96.3535911602 98.8662131519 96.3282933889
30 96.3535911602 98.8662131519 96.3291094461
31 95.5093099671 98.8662131519 96.3034907124
32 97.5937325126 98.8662131519 96.3425889487
33 94.7826086957 98.8662131519 96.2967071766
34 93.9655172414 98.8662131519 96.2301017499
35 99.0909090909 99.0909090909 96.3095686204
36 95.5616438356 99.0909090909 96.2893544371
37 95.0408719346 99.0909090909 96.2564996344
38 95.3005464481 99.0909090909 96.2319880142
39 94.9891067538 99.0909090909 96.2009159827
40 94.1684665227 99.0909090909 96.1513440446
41 95.5616438356 99.0909090909 96.1373035635
42 98.4198645598 99.0909090909 96.1903863773
43 94.5770065076 99.0909090909 96.153718653
44 97.8675645342 99.0909090909 96.1918041171
45 96.7813540511 99.0909090909 96.20462042
46 99.3166287016 99.3166287016 96.2708333621
47 96.5135583841 99.3166287016 96.2758901334
48 94.7826086957 99.3166287016 96.245415002
49 95.2484980885 99.3166287016 96.2254766638
50 96.5135583841 99.3166287016 96.231125325
51 96.94274597 99.3166287016 96.2448103374
52 96.620498615 99.3166287016 96.2518987954
53 99.1472427516 99.3166287016 96.3055162761
54 96.9966629588 99.3166287016 96.3180825794
55 98.3643542019 99.3166287016 96.3546231441
56 98.1429375352 99.3166287016 96.3859970808
57 96.3003865268 99.3166287016 96.3845210368
58 95.1445717403 99.3166287016 96.363504947
59 96.3535911602 99.3166287016 96.3633397172
60 96.3535911602 99.3166287016 96.3631799048
61 95.4570333881 99.3166287016 96.3485646384
62 97.484628284 99.3166287016 96.3665973947
63 97.2129319955 99.3166287016 96.3798213728
64 95.7715540912 99.3166287016 96.3704634146
65 97.4301675978 99.3166287016 96.3865195386
66 94.8857453754 99.3166287016 96.3641199242
67 96.5669988926 99.3166287016 96.3671034385
68 95.1445717403 99.3166287016 96.3493855878
69 94.1684665227 99.3166287016 96.3182296011
70 92.2263352723 99.3166287016 96.2605972867
71 94.834148994 99.3166287016 96.2407855048
72 96.5135583841 99.3166287016 96.2445221196
73 95.8768554151 99.3166287016 96.2395536506
74 96.7276760954 99.3166287016 96.2460619499
75 96.3535911602 99.3166287016 96.2474768079
76 96.08815427 99.3166287016 96.245407684
77 98.6425339367 99.3166287016 96.2761400719
78 93.5120643432 99.3166287016 96.2411517715
79 98.1429375352 99.3166287016 96.2649240936
80 95.1965065502 99.3166287016 96.2517337535
81 96.1411245865 99.3166287016 96.2503848613
82 97.5391498881 99.3166287016 96.2659121507
83 97.4301675978 99.3166287016 96.2797723346
84 93.5120643432 99.3166287016 96.2472110641
85 95.4048140044 99.3166287016 96.2374157495
86 94.6796959826 99.3166287016 96.2195109246
87 95.6140350877 99.3166287016 96.2126305174
88 98.8101983003 99.3166287016 96.2418166722
89 95.9823885526 99.3166287016 96.2389341376
90 95.9823885526 99.3166287016 96.2361149553
91 97.6483762598 99.3166287016 96.2514656217
92 96.7276760954 99.3166287016 96.2565861644
93 96.5135583841 99.3166287016 96.2593199114
94 95.0408719346 99.3166287016 96.2464941432
95 93.2121859968 99.3166287016 96.2148867667
96 93.914916532 99.3166287016 96.1911757333
97 94.2193408968 99.3166287016 96.1710549697
98 95.3005464481 99.3166287016 96.1622619543
99 96.08815427 99.3166287016 96.1615208775
