i current best mean
0 96.2460534345 96.2460534345 96.2460534345
1 94.7366909105 96.2460534345 95.4913721725
2 93.3226486107 96.2460534345 94.7684643186
3 97.1538988934 97.1538988934 95.3648229623
4 95.6968710512 97.1538988934 95.4312325801
5 98.4076217139 98.4076217139 95.9272974357
6 96.7540694154 98.4076217139 96.0454077185
7 96.0022971045 98.4076217139 96.0400188918
8 96.5709372221 98.4076217139 96.0990098174
9 97.3473484218 98.4076217139 96.2238436778
10 94.7119564508 98.4076217139 96.0863993844
11 96.1330637361 98.4076217139 96.0902880804
12 94.6328929005 98.4076217139 95.9781807589
13 94.3488630364 98.4076217139 95.8618009216
14 97.0746040199 98.4076217139 95.9426544614
15 95.7769645893 98.4076217139 95.9322988444
16 94.9765413093 98.4076217139 95.876077813
17 93.6094610426 98.4076217139 95.7501546591
18 95.0818426053 98.4076217139 95.7149803404
19 95.3575240128 98.4076217139 95.6971075241
20 96.6066849 98.4076217139 95.7404207324
21 93.9228393224 98.4076217139 95.6578033956
22 94.0882470419 98.4076217139 95.589561815
23 95.6986382319 98.4076217139 95.5941066657
24 94.9927071904 98.4076217139 95.5700506867
25 96.4451309647 98.4076217139 95.6037076205
26 95.6963661545 98.4076217139 95.607139418
27 96.7401362721 98.4076217139 95.6476035914
28 95.7142932528 98.4076217139 95.6499032349
29 92.6500297544 98.4076217139 95.5499074522
30 96.3964370938 98.4076217139 95.57721486
31 94.6719140241 98.4076217139 95.5489242089
32 94.0499493144 98.4076217139 95.5035007272
33 95.2588651737 98.4076217139 95.4963055639
34 95.2248577249 98.4076217139 95.4885499113
35 95.5041359738 98.4076217139 95.4889828575
36 93.4840199358 98.4076217139 95.4347946704
37 94.4242572531 98.4076217139 95.4082015805
38 95.3174348761 98.4076217139 95.4058742291
39 94.4978027159 98.4076217139 95.3831724413
40 95.5383432271 98.4076217139 95.3869570946
41 95.4822662368 98.4076217139 95.3892263599
42 95.9482120186 98.4076217139 95.4022260264
43 95.8073189026 98.4076217139 95.4114326826
44 94.9096978941 98.4076217139 95.4002830207
45 96.0574606117 98.4076217139 95.4145694901
46 92.873235398 98.4076217139 95.3604985519
47 96.8879285709 98.4076217139 95.3923200107
48 96.2220559994 98.4076217139 95.4092533982
49 96.0681447427 98.4076217139 95.4224312251
50 95.9126963143 98.4076217139 95.432044266
51 95.178386831 98.4076217139 95.4271662384
52 93.592313666 98.4076217139 95.3925463786
53 96.2355849965 98.4076217139 95.4081582048
54 94.710967341 98.4076217139 95.3954820073
55 96.3109574784 98.4076217139 95.4118297836
56 96.1498805949 98.4076217139 95.4247780434
57 95.4101922086 98.4076217139 95.4245265635
58 96.3140259768 98.4076217139 95.4396028248
59 95.6628024725 98.4076217139 95.4433228189
60 92.7908017752 98.4076217139 95.3998388674
61 95.4792505073 98.4076217139 95.4011197003
62 92.4132959021 98.4076217139 95.3536939257
63 94.8786688358 98.4076217139 95.3462716587
64 96.2687854445 98.4076217139 95.3604641784
65 95.3667994269 98.4076217139 95.360560167
66 97.5017201712 98.4076217139 95.392517779
67 96.3183733508 98.4076217139 95.4061333022
68 94.6331397685 98.4076217139 95.3949304973
69 95.8688453539 98.4076217139 95.4017007096
70 98.4530248792 98.4530248792 95.4446771063
71 95.4712094934 98.4530248792 95.4450456117
72 95.4400633529 98.4530248792 95.4449773616
73 96.1797067635 98.4530248792 95.4549061373
74 94.5421328475 98.4530248792 95.4427358267
75 95.1179925534 98.4530248792 95.4384628889
76 95.8182005478 98.4530248792 95.4433945468
77 96.072215513 98.4530248792 95.4514563541
78 95.9723269442 98.4530248792 95.4580496527
79 97.8934983417 98.4530248792 95.4884927613
80 96.7256913244 98.4530248792 95.5037668177
81 93.7871000434 98.4530248792 95.482831857
82 96.6679546454 98.4530248792 95.4971104448
83 92.9763048966 98.4530248792 95.467100855
84 94.3650614037 98.4530248792 95.4541356849
85 94.7401547659 98.4530248792 95.4458335812
86 94.7460933929 98.4530248792 95.4377905906
87 94.6892121522 98.4530248792 95.4292840174
88 98.0517286583 98.4530248792 95.4587496875
89 92.5384746857 98.4530248792 95.4263021875
90 94.8486520265 98.4530248792 95.4199543835
91 98.4116261909 98.4530248792 95.4524725553
92 96.2098066049 98.4530248792 95.4606159322
93 97.5756776967 98.4530248792 95.4831165893
94 96.5570567693 98.4530248792 95.4944212228
95 94.8918226787 98.4530248792 95.4881441546
96 95.1511749601 98.4530248792 95.4846702454
97 95.787333483 98.4530248792 95.4877586458
98 93.8977988073 98.4530248792 95.4716984454
99 95.5209850147 98.4530248792 95.4721913111
