i current best mean
0 93.5459467207 93.5459467207 93.5459467207
1 91.9729201471 93.5459467207 92.7594334339
2 94.2245691826 94.2245691826 93.2478120168
3 90.8818793221 94.2245691826 92.6563288431
4 85.2542020326 94.2245691826 91.175903481
5 88.3173847203 94.2245691826 90.6994836876
6 89.7985114074 94.2245691826 90.5707733618
7 89.1417089942 94.2245691826 90.3921403159
8 90.4501585777 94.2245691826 90.3985867894
9 85.284295811 94.2245691826 89.8871576916
10 87.5702144424 94.2245691826 89.6765264871
11 87.1184248743 94.2245691826 89.4633513527
12 88.6150747488 94.2245691826 89.3980993063
13 92.6185582421 94.2245691826 89.6281320874
14 89.7918436249 94.2245691826 89.6390461899
15 83.7144857505 94.2245691826 89.2687611624
16 88.2189411642 94.2245691826 89.2070070449
17 90.5934241737 94.2245691826 89.2840302187
18 91.1623357621 94.2245691826 89.3828884052
19 88.4938509509 94.2245691826 89.3384365325
20 96.1489216256 96.1489216256 89.6627453464
21 91.5920414702 96.1489216256 89.7504406248
22 87.6170032077 96.1489216256 89.6576824762
23 93.4806318526 96.1489216256 89.8169720336
24 98.0249344143 98.0249344143 90.1452905288
25 90.7691859252 98.0249344143 90.1692865056
26 89.9104771353 98.0249344143 90.1597009733
27 89.4138197949 98.0249344143 90.1330623598
28 94.9791581757 98.0249344143 90.3001691121
29 88.505404957 98.0249344143 90.2403436403
30 86.5050368194 98.0249344143 90.1198498718
31 97.401708998 98.0249344143 90.3474079695
32 89.2900799201 98.0249344143 90.3153677256
33 93.2431660115 98.0249344143 90.4014794399
34 92.2577976544 98.0249344143 90.4545171032
35 93.1991663969 98.0249344143 90.5307573613
36 88.4657400026 98.0249344143 90.4749460814
37 92.1259305775 98.0249344143 90.5183930418
38 91.7085570032 98.0249344143 90.5489100664
39 91.2975364953 98.0249344143 90.5676257272
40 92.4027782697 98.0249344143 90.6123855453
41 94.7502915205 98.0249344143 90.7109071161
42 89.6546929139 98.0249344143 90.6863439951
43 89.0763078643 98.0249344143 90.6497522649
44 87.8816206639 98.0249344143 90.5882382293
45 92.9229607959 98.0249344143 90.6389930677
46 89.0241930432 98.0249344143 90.6046356204
47 92.17932689 98.0249344143 90.6374416885
48 92.0931873861 98.0249344143 90.6671507844
49 85.5252946793 98.0249344143 90.5643136623
50 92.1029486885 98.0249344143 90.5944829765
51 91.3463978446 98.0249344143 90.6089428778
52 91.8132029861 98.0249344143 90.6316647667
53 94.7161400522 98.0249344143 90.7073031979
54 88.3895084893 98.0249344143 90.6651614759
55 90.4947462045 98.0249344143 90.662118346
56 90.8913502561 98.0249344143 90.6661399585
57 88.489518193 98.0249344143 90.628611997
58 83.6997415798 98.0249344143 90.5111735154
59 92.9431034058 98.0249344143 90.5517056802
60 95.2273515153 98.0249344143 90.6283556119
61 84.4118966078 98.0249344143 90.5280901441
62 93.1268281155 98.0249344143 90.5693399532
63 84.3355091708 98.0249344143 90.4719363472
64 95.5217205592 98.0249344143 90.5496253351
65 88.7044895542 98.0249344143 90.5216687324
66 94.4583720535 98.0249344143 90.5804254984
67 94.2645072576 98.0249344143 90.6346031713
68 93.9114308753 98.0249344143 90.6820934279
69 90.4917060218 98.0249344143 90.6793736078
70 96.2275566546 98.0249344143 90.757517031
71 93.5780036649 98.0249344143 90.7966904564
72 89.4483459001 98.0249344143 90.7782199831
73 91.9455111843 98.0249344143 90.7939941885
74 93.3695768021 98.0249344143 90.82833529
75 95.8313586426 98.0249344143 90.8941645446
76 92.5146195166 98.0249344143 90.9152094144
77 94.8739738883 98.0249344143 90.9659628051
78 87.4780182378 98.0249344143 90.921811608
79 85.4019954867 98.0249344143 90.8528139065
80 89.1028895605 98.0249344143 90.8312099023
81 87.4745935586 98.0249344143 90.7902755566
82 91.6021937558 98.0249344143 90.8000577036
83 93.2373597297 98.0249344143 90.8290732039
84 88.212704924 98.0249344143 90.7982924006
85 87.8004227013 98.0249344143 90.7634334506
86 94.6442141924 98.0249344143 90.8080401258
87 89.3083187166 98.0249344143 90.7909978371
88 85.132145801 98.0249344143 90.7274152299
89 94.9456886215 98.0249344143 90.7742849343
90 94.8487507976 98.0249344143 90.8190592844
91 99.924864454 99.924864454 90.9180354276
92 91.8672520198 99.924864454 90.9282420576
93 94.8659132416 99.924864454 90.9701321766
94 87.7804156876 99.924864454 90.9365562135
95 94.4981196096 99.924864454 90.9736558322
96 90.9056015968 99.924864454 90.9729542422
97 92.856990866 99.924864454 90.9921791057
98 85.3563135306 99.924864454 90.9352511706
99 90.4181444685 99.924864454 90.9300801036
