N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 59.1894906432 170791.270365 22.0907007841 4.97391249309 0.000129343266415 0.175 0.281982071928 0.541919321802 0.157149716909
2 esc16a 94.4444444444 1604692.26358 61.6038277212 4.94164634602 3.83898078898e-05 0.165 0.285799317704 0.424739583333 0.199055965628
3 had16 96.2732919255 2568675.89569 88.0399302009 1.79051471188 3.42744409089e-05 0.15375 0.288370963344 0.632837022569 0.125759179899
4 had20 96.2458286986 2694432.78267 89.1669855952 1.44636791044 3.30930450997e-05 0.156 0.285418990258 0.651857837302 0.118395113579
5 rou20 89.4778254649 2470578.57976 79.7260124073 2.03513480916 3.22701787591e-05 0.146 0.288416365694 0.520550953948 0.161884112603
6 nug24 86.6799204771 1983000.10532 73.2558880486 2.45438769396 3.69419486424e-05 0.133333333333 0.290832139444 0.323262731481 0.227108230751
7 bur26a 98.2419469563 2480839.69702 91.3246968296 1.92981644219 3.68120104411e-05 0.130769230769 0.291395337306 0.28247951658 0.241054243476
8 nug30 86.4727478114 1938850.78309 75.3594268301 1.97490447988 3.88680900496e-05 0.136 0.289891933888 0.330934074074 0.224592238748
9 kra30a 80.5691499003 1737134.31731 66.0954167965 2.21503141438 3.80485355322e-05 0.13 0.291299769234 0.234083333333 0.256874180082
10 tai40b 77.5471451838 1100109.25704 56.3873989358 2.8200897164 5.12561807612e-05 0.123 0.29325074595 0.157598235234 0.281671496859
11 lipa40a 97.4206900812 2063607.0506 96.3997241996 0.209300003463 4.67141862942e-05 0.1275 0.291815438248 0.665781674328 0.111813416756
