N Instance best_quality effectiveness quality quality_sd time z-binary_similarity z-binary_similarity_sd z-partial_similarity z-partial_similarity_sd
1 chr12a 80.0939124602 1786.67044151 67.1660710824 8.53145928576 0.037592870807 0.191666666667 0.294509950785 0.546181013706 0.170182695174
2 esc16a 100.0 1340.2024054 97.7301587302 1.68291400448 0.0729219395043 0.14625 0.293313505485 0.41234375 0.20378472592
3 had16 99.9462654487 476.487756624 98.8279616549 1.11647921796 0.207409236189 0.275 0.351336733064 0.68839750744 0.152541063059
4 had20 100.0 160.443815295 98.7864137345 0.883240968681 0.61570720911 0.221 0.294463919691 0.680029702381 0.123791357976
5 rou20 97.1999753491 211.922179891 96.2973142785 0.81505300885 0.454399413634 0.184 0.280613613355 0.542174921072 0.157875775218
6 nug24 97.7030812325 71.3453937457 95.4531791333 1.4575739134 1.33790247866 0.1575 0.287263187493 0.342335069444 0.224288863099
7 bur26a 99.9068988556 46.955592143 99.6996684677 0.156948368353 2.12327571472 0.202307692308 0.279666961702 0.371419489182 0.221568989308
8 nug30 97.113859816 23.8297847165 95.4662073856 1.57267706676 4.00617162602 0.138 0.289444679036 0.332522962963 0.22433404263
9 kra30a 96.1913005843 26.2935473909 92.3028658965 1.92963470806 3.51047595535 0.141333333333 0.289102826767 0.251307407407 0.252753216579
10 tai40b 95.8725937164 3.93273597433 91.8070187078 2.59395734533 23.3443127907 0.1703125 0.31668679692 0.202992558358 0.304295851507
11 lipa40a 98.6610773947 7.41793338885 98.5778503174 0.0599158568321 13.2891258454 0.1285 0.29171947141 0.666746640537 0.11167043109
